## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SLX-18684.D712rna_D506rna.HKMGVDRXX.s_2.Star_Aligned.sortedByCoord.out.bam] OUTPUT=SLX-18684.D712rna_D506rna.HKMGVDRXX.s_2.marked_duplicates.bam METRICS_FILE=SLX-18684.D712rna_D506rna.HKMGVDRXX.s_2.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 08 14:40:26 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	466	6439695	3120538	0	311	4333270	147124	0.6729	2241810

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.004083	1491469	0	1521161
2.0	1.060868	329620	80497	318151
3.0	1.06408	101951	11920	92961
4.0	1.064262	42585	3549	38274
5.0	1.064272	22982	1617	21140
6.0	1.064272	15091	879	14356
7.0	1.064272	11069	520	10595
8.0	1.064272	8711	354	8468
9.0	1.064272	7134	237	6946
10.0	1.064272	5949	157	5880
11.0	1.064272	5019	137	5012
12.0	1.064272	4435	97	4228
13.0	1.064272	3724	73	3693
14.0	1.064272	3400	57	3397
15.0	1.064272	3100	41	3045
16.0	1.064272	2781	32	2771
17.0	1.064272	2481	29	2371
18.0	1.064272	2254	23	2199
19.0	1.064272	2032	26	2049
20.0	1.064272	1886	25	1875
21.0	1.064272	1758	19	1723
22.0	1.064272	1642	18	1603
23.0	1.064272	1484	9	1449
24.0	1.064272	1331	10	1321
25.0	1.064272	1276	15	1228
26.0	1.064272	1153	8	1117
27.0	1.064272	1086	8	1066
28.0	1.064272	1029	9	979
29.0	1.064272	873	4	866
30.0	1.064272	908	5	869
31.0	1.064272	851	3	877
32.0	1.064272	813	8	746
33.0	1.064272	721	1	737
34.0	1.064272	694	2	699
35.0	1.064272	720	1	711
36.0	1.064272	682	3	673
37.0	1.064272	649	2	609
38.0	1.064272	614	0	594
39.0	1.064272	532	0	561
40.0	1.064272	529	3	513
41.0	1.064272	536	1	520
42.0	1.064272	493	3	495
43.0	1.064272	489	1	490
44.0	1.064272	488	2	437
45.0	1.064272	431	0	406
46.0	1.064272	383	1	414
47.0	1.064272	415	0	367
48.0	1.064272	352	0	378
49.0	1.064272	382	1	359
50.0	1.064272	329	2	333
51.0	1.064272	318	1	318
52.0	1.064272	346	1	318
53.0	1.064272	305	1	299
54.0	1.064272	298	0	293
55.0	1.064272	296	0	305
56.0	1.064272	296	0	292
57.0	1.064272	298	0	262
58.0	1.064272	258	0	254
59.0	1.064272	234	0	225
60.0	1.064272	227	0	260
61.0	1.064272	245	0	236
62.0	1.064272	244	1	233
63.0	1.064272	249	0	244
64.0	1.064272	209	0	187
65.0	1.064272	217	0	225
66.0	1.064272	218	0	201
67.0	1.064272	223	1	206
68.0	1.064272	185	0	185
69.0	1.064272	178	0	181
70.0	1.064272	175	0	197
71.0	1.064272	178	0	180
72.0	1.064272	194	1	171
73.0	1.064272	168	1	143
74.0	1.064272	129	0	159
75.0	1.064272	143	0	148
76.0	1.064272	209	1	156
77.0	1.064272	140	0	150
78.0	1.064272	134	1	145
79.0	1.064272	143	0	139
80.0	1.064272	133	0	158
81.0	1.064272	141	0	112
82.0	1.064272	143	0	119
83.0	1.064272	121	0	116
84.0	1.064272	109	0	119
85.0	1.064272	106	1	127
86.0	1.064272	119	0	112
87.0	1.064272	114	0	103
88.0	1.064272	134	0	104
89.0	1.064272	111	0	96
90.0	1.064272	100	0	114
91.0	1.064272	100	0	108
92.0	1.064272	110	1	98
93.0	1.064272	92	1	91
94.0	1.064272	82	0	108
95.0	1.064272	109	0	92
96.0	1.064272	95	0	98
97.0	1.064272	90	0	79
98.0	1.064272	96	0	85
99.0	1.064272	97	0	111
100.0	1.064272	79	0	94
101.0	0	98	0	83
102.0	0	88	0	73
103.0	0	84	0	84
104.0	0	78	0	75
105.0	0	82	0	89
106.0	0	65	0	75
107.0	0	74	0	82
108.0	0	89	0	74
109.0	0	81	0	58
110.0	0	76	0	54
111.0	0	66	0	83
112.0	0	70	0	70
113.0	0	76	0	73
114.0	0	68	1	64
115.0	0	59	1	60
116.0	0	55	0	58
117.0	0	66	0	71
118.0	0	57	0	60
119.0	0	54	0	38
120.0	0	61	0	66
121.0	0	54	0	63
122.0	0	55	0	61
123.0	0	55	0	39
124.0	0	66	1	64
125.0	0	55	0	63
126.0	0	55	0	45
127.0	0	53	0	53
128.0	0	54	0	42
129.0	0	52	1	56
130.0	0	51	0	41
131.0	0	46	0	50
132.0	0	45	0	23
133.0	0	38	0	45
134.0	0	34	0	37
135.0	0	45	0	46
136.0	0	37	0	50
137.0	0	53	0	49
138.0	0	47	0	39
139.0	0	40	0	53
140.0	0	47	0	40
141.0	0	51	0	38
142.0	0	43	0	41
143.0	0	48	0	41
144.0	0	39	0	48
145.0	0	25	0	37
146.0	0	42	0	34
147.0	0	46	0	43
148.0	0	34	0	40
149.0	0	31	0	33
150.0	0	43	0	26
151.0	0	33	0	33
152.0	0	30	0	28
153.0	0	30	0	32
154.0	0	38	0	42
155.0	0	37	0	25
156.0	0	38	0	28
157.0	0	27	0	35
158.0	0	24	0	32
159.0	0	36	0	39
160.0	0	27	0	34
161.0	0	30	0	27
162.0	0	38	0	39
163.0	0	27	0	27
164.0	0	37	0	19
165.0	0	25	0	28
166.0	0	28	0	33
167.0	0	28	0	37
168.0	0	36	0	24
169.0	0	24	0	30
170.0	0	29	0	33
171.0	0	27	0	19
172.0	0	30	0	18
173.0	0	30	0	33
174.0	0	25	0	16
175.0	0	35	0	33
176.0	0	22	0	30
177.0	0	28	0	26
178.0	0	31	0	19
179.0	0	24	0	19
180.0	0	16	0	26
181.0	0	24	0	27
182.0	0	25	0	25
183.0	0	21	0	25
184.0	0	24	0	18
185.0	0	24	0	32
186.0	0	14	0	19
187.0	0	20	1	18
188.0	0	28	0	18
189.0	0	20	0	21
190.0	0	26	0	14
191.0	0	26	0	22
192.0	0	22	0	17
193.0	0	11	0	15
194.0	0	22	0	24
195.0	0	19	0	14
196.0	0	16	0	15
197.0	0	17	0	25
198.0	0	15	0	14
199.0	0	15	0	15
200.0	0	13	0	17
201.0	0	20	0	16
202.0	0	14	0	19
203.0	0	20	0	18
204.0	0	25	0	11
205.0	0	14	0	13
206.0	0	21	0	12
207.0	0	15	0	19
208.0	0	12	0	15
209.0	0	10	0	13
210.0	0	18	0	18
211.0	0	10	0	11
212.0	0	17	0	14
213.0	0	9	0	17
214.0	0	20	0	9
215.0	0	9	0	15
216.0	0	21	0	17
217.0	0	11	0	14
218.0	0	17	0	11
219.0	0	11	0	21
220.0	0	14	0	16
221.0	0	14	0	19
222.0	0	23	0	12
223.0	0	11	0	12
224.0	0	13	0	9
225.0	0	14	0	11
226.0	0	15	0	10
227.0	0	11	0	9
228.0	0	9	0	10
229.0	0	11	0	14
230.0	0	13	0	13
231.0	0	8	0	17
232.0	0	13	0	12
233.0	0	19	0	13
234.0	0	9	0	10
235.0	0	10	0	19
236.0	0	13	0	17
237.0	0	19	0	11
238.0	0	12	0	8
239.0	0	15	0	9
240.0	0	7	0	11
241.0	0	13	0	12
242.0	0	11	0	13
243.0	0	12	0	12
244.0	0	8	0	14
245.0	0	10	0	8
246.0	0	16	0	6
247.0	0	10	0	4
248.0	0	13	0	8
249.0	0	9	0	11
250.0	0	10	0	15
251.0	0	7	0	12
252.0	0	11	0	10
253.0	0	10	0	8
254.0	0	7	0	10
255.0	0	7	0	12
256.0	0	11	0	5
257.0	0	11	0	9
258.0	0	8	0	9
259.0	0	10	1	8
260.0	0	13	0	11
261.0	0	9	0	11
262.0	0	4	0	12
263.0	0	10	0	5
264.0	0	5	0	8
265.0	0	11	0	10
266.0	0	6	0	7
267.0	0	15	0	11
268.0	0	10	0	7
269.0	0	10	0	8
270.0	0	11	0	11
271.0	0	7	0	6
272.0	0	7	0	8
273.0	0	10	0	9
274.0	0	11	0	7
275.0	0	8	0	8
276.0	0	8	0	7
277.0	0	4	0	5
278.0	0	5	0	8
279.0	0	6	0	7
280.0	0	9	0	7
281.0	0	7	0	10
282.0	0	8	0	3
283.0	0	8	0	5
284.0	0	7	0	12
285.0	0	5	0	9
286.0	0	6	0	8
287.0	0	13	0	7
288.0	0	9	0	9
289.0	0	6	0	5
290.0	0	10	0	14
291.0	0	6	0	9
292.0	0	5	0	8
293.0	0	7	0	5
294.0	0	8	0	3
295.0	0	12	0	6
296.0	0	7	0	6
297.0	0	8	0	7
298.0	0	7	0	11
299.0	0	7	0	5
300.0	0	8	0	9
301.0	0	2	0	12
302.0	0	9	0	6
303.0	0	9	0	9
304.0	0	4	0	6
305.0	0	13	0	4
306.0	0	8	0	10
307.0	0	4	0	2
308.0	0	9	0	6
309.0	0	6	0	6
310.0	0	10	0	5
311.0	0	3	0	6
312.0	0	3	0	3
313.0	0	5	0	10
314.0	0	5	0	5
315.0	0	7	0	7
316.0	0	4	0	6
317.0	0	3	0	6
318.0	0	9	0	7
319.0	0	2	0	4
320.0	0	8	0	9
321.0	0	6	0	8
322.0	0	6	0	7
323.0	0	5	0	4
324.0	0	8	0	6
325.0	0	5	0	4
326.0	0	8	0	1
327.0	0	8	0	3
328.0	0	6	0	7
329.0	0	7	0	6
330.0	0	5	0	4
331.0	0	2	0	3
