## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SLX-18684.D702rna_D508rna.HKMGVDRXX.s_2.Star_Aligned.sortedByCoord.out.bam] OUTPUT=SLX-18684.D702rna_D508rna.HKMGVDRXX.s_2.marked_duplicates.bam METRICS_FILE=SLX-18684.D702rna_D508rna.HKMGVDRXX.s_2.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 08 14:43:24 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	196	3509558	1986934	0	175	3010843	80202	0.857899	499233

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000153	247757	0	252528
2.0	1.001038	77656	33567	76872
3.0	1.001039	37925	7647	36925
4.0	1.001039	22815	2746	22180
5.0	1.001039	15619	1235	15244
6.0	1.001039	11587	652	11364
7.0	1.001039	9294	420	9102
8.0	1.001039	7356	249	7180
9.0	1.001039	5836	169	5766
10.0	1.001039	5142	133	5056
11.0	1.001039	4365	91	4242
12.0	1.001039	3769	78	3738
13.0	1.001039	3339	51	3239
14.0	1.001039	2833	35	2766
15.0	1.001039	2550	36	2560
16.0	1.001039	2320	28	2241
17.0	1.001039	1979	18	1962
18.0	1.001039	1852	11	1872
19.0	1.001039	1777	12	1711
20.0	1.001039	1578	10	1509
21.0	1.001039	1473	7	1416
22.0	1.001039	1344	11	1357
23.0	1.001039	1220	6	1217
24.0	1.001039	1154	11	1200
25.0	1.001039	1119	8	1038
26.0	1.001039	980	5	930
27.0	1.001039	901	4	893
28.0	1.001039	860	5	874
29.0	1.001039	853	3	819
30.0	1.001039	754	2	703
31.0	1.001039	685	1	695
32.0	1.001039	679	6	664
33.0	1.001039	649	0	636
34.0	1.001039	601	1	616
35.0	1.001039	575	2	584
36.0	1.001039	594	2	538
37.0	1.001039	522	0	506
38.0	1.001039	492	3	450
39.0	1.001039	467	1	496
40.0	1.001039	445	1	461
41.0	1.001039	453	1	396
42.0	1.001039	392	1	367
43.0	1.001039	397	1	423
44.0	1.001039	336	0	332
45.0	1.001039	333	0	319
46.0	1.001039	349	0	341
47.0	1.001039	338	1	296
48.0	1.001039	289	2	302
49.0	1.001039	286	1	294
50.0	1.001039	272	0	269
51.0	1.001039	284	0	269
52.0	1.001039	275	1	268
53.0	1.001039	248	0	255
54.0	1.001039	259	0	233
55.0	1.001039	229	0	236
56.0	1.001039	226	0	228
57.0	1.001039	214	0	195
58.0	1.001039	224	1	198
59.0	1.001039	193	1	190
60.0	1.001039	185	1	190
61.0	1.001039	193	0	191
62.0	1.001039	170	0	185
63.0	1.001039	186	0	192
64.0	1.001039	173	0	160
65.0	1.001039	188	0	185
66.0	1.001039	158	0	159
67.0	1.001039	179	0	173
68.0	1.001039	157	0	149
69.0	1.001039	153	0	143
70.0	1.001039	147	0	154
71.0	1.001039	146	0	132
72.0	1.001039	118	0	113
73.0	1.001039	131	0	126
74.0	1.001039	117	0	116
75.0	1.001039	119	0	115
76.0	1.001039	113	0	121
77.0	1.001039	139	0	127
78.0	1.001039	132	0	105
79.0	1.001039	84	0	96
80.0	1.001039	105	0	110
81.0	1.001039	101	1	103
82.0	1.001039	105	1	97
83.0	1.001039	111	0	82
84.0	1.001039	95	0	101
85.0	1.001039	80	0	91
86.0	1.001039	102	0	85
87.0	1.001039	92	0	86
88.0	1.001039	74	1	71
89.0	1.001039	69	0	89
90.0	1.001039	80	0	87
91.0	1.001039	89	0	79
92.0	1.001039	93	0	68
93.0	1.001039	66	0	87
94.0	1.001039	82	1	76
95.0	1.001039	77	0	76
96.0	1.001039	82	0	61
97.0	1.001039	75	0	94
98.0	1.001039	63	0	73
99.0	1.001039	79	0	80
100.0	1.001039	74	0	83
101.0	0	71	0	59
102.0	0	70	0	66
103.0	0	88	0	59
104.0	0	47	0	60
105.0	0	57	0	52
106.0	0	70	0	56
107.0	0	48	0	61
108.0	0	55	0	54
109.0	0	60	0	65
110.0	0	55	0	57
111.0	0	52	0	41
112.0	0	63	1	58
113.0	0	45	0	48
114.0	0	45	0	47
115.0	0	45	0	53
116.0	0	51	0	56
117.0	0	60	0	46
118.0	0	46	0	50
119.0	0	58	0	48
120.0	0	42	0	35
121.0	0	48	0	43
122.0	0	44	0	39
123.0	0	50	0	41
124.0	0	32	0	39
125.0	0	31	0	35
126.0	0	34	0	37
127.0	0	39	0	35
128.0	0	34	0	37
129.0	0	47	0	29
130.0	0	35	0	37
131.0	0	43	0	34
132.0	0	24	0	38
133.0	0	31	0	20
134.0	0	40	0	40
135.0	0	25	0	32
136.0	0	28	0	35
137.0	0	28	0	26
138.0	0	37	0	20
139.0	0	33	0	33
140.0	0	28	0	34
141.0	0	33	0	32
142.0	0	23	0	26
143.0	0	33	0	34
144.0	0	27	0	33
145.0	0	25	0	27
146.0	0	27	0	37
147.0	0	34	0	21
148.0	0	29	0	28
149.0	0	31	0	22
150.0	0	32	1	29
151.0	0	27	0	26
152.0	0	30	0	21
153.0	0	15	0	22
154.0	0	24	0	23
155.0	0	27	0	20
156.0	0	25	0	17
157.0	0	15	0	26
158.0	0	23	0	22
159.0	0	23	0	24
160.0	0	21	0	22
161.0	0	23	0	29
162.0	0	15	0	27
163.0	0	20	0	22
164.0	0	31	0	23
165.0	0	23	0	15
166.0	0	17	0	23
167.0	0	24	0	28
168.0	0	27	0	23
169.0	0	26	0	22
170.0	0	17	0	16
171.0	0	30	0	18
172.0	0	21	0	20
173.0	0	25	0	11
174.0	0	17	0	17
175.0	0	15	0	20
176.0	0	10	0	18
177.0	0	18	0	24
178.0	0	18	0	18
179.0	0	19	0	14
180.0	0	19	0	13
181.0	0	16	0	24
182.0	0	24	0	19
183.0	0	20	0	19
184.0	0	11	0	16
185.0	0	21	0	18
186.0	0	15	0	12
187.0	0	19	0	14
188.0	0	16	0	28
189.0	0	10	0	13
190.0	0	19	0	18
191.0	0	16	0	17
192.0	0	24	0	18
193.0	0	20	0	17
194.0	0	15	0	19
195.0	0	19	0	14
196.0	0	14	0	16
197.0	0	19	0	14
198.0	0	11	0	9
199.0	0	14	0	12
200.0	0	20	0	16
201.0	0	16	0	23
202.0	0	10	0	15
203.0	0	11	0	10
204.0	0	13	0	8
205.0	0	14	0	12
206.0	0	18	0	9
207.0	0	8	0	12
208.0	0	11	0	14
209.0	0	11	0	10
210.0	0	12	0	13
211.0	0	11	0	9
212.0	0	13	0	10
213.0	0	12	0	8
214.0	0	13	0	9
215.0	0	8	0	7
216.0	0	13	0	15
217.0	0	7	0	12
218.0	0	13	0	12
219.0	0	11	0	12
220.0	0	9	0	16
221.0	0	8	0	10
222.0	0	12	0	12
223.0	0	10	0	7
224.0	0	16	0	9
225.0	0	14	0	9
226.0	0	15	0	7
