## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SLX-18684.D711rna_D507rna.HKMGVDRXX.s_2.Star_Aligned.sortedByCoord.out.bam] OUTPUT=SLX-18684.D711rna_D507rna.HKMGVDRXX.s_2.marked_duplicates.bam METRICS_FILE=SLX-18684.D711rna_D507rna.HKMGVDRXX.s_2.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 08 12:41:40 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1064	3691661	972755	0	351	882355	78840	0.239026	6866961

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.016488	2304797	0	2346942
2.0	1.610269	376186	67103	353791
3.0	1.957127	82961	4442	70661
4.0	2.159744	22648	519	18106
5.0	2.278102	8066	98	6317
6.0	2.347241	3661	45	3068
7.0	2.387629	2121	21	1852
8.0	2.411221	1324	15	1283
9.0	2.425003	972	4	918
10.0	2.433053	777	5	732
11.0	2.437756	646	6	624
12.0	2.440503	477	2	462
13.0	2.442108	426	4	411
14.0	2.443045	326	2	344
15.0	2.443593	325	0	304
16.0	2.443913	313	3	306
17.0	2.4441	247	2	226
18.0	2.444209	193	1	210
19.0	2.444272	201	0	175
20.0	2.44431	153	0	158
21.0	2.444331	137	0	120
22.0	2.444344	132	0	149
23.0	2.444352	131	0	115
24.0	2.444356	106	0	106
25.0	2.444359	109	0	114
26.0	2.44436	93	0	102
27.0	2.444361	106	0	75
28.0	2.444361	70	1	63
29.0	2.444362	57	0	68
30.0	2.444362	59	1	44
31.0	2.444362	61	0	76
32.0	2.444362	53	1	44
33.0	2.444362	44	0	56
34.0	2.444362	51	0	44
35.0	2.444362	49	1	40
36.0	2.444362	49	0	49
37.0	2.444362	33	0	40
38.0	2.444362	37	0	32
39.0	2.444362	35	0	38
40.0	2.444362	28	0	34
41.0	2.444362	39	0	31
42.0	2.444362	30	0	23
43.0	2.444362	31	0	32
44.0	2.444362	29	0	27
45.0	2.444362	29	0	40
46.0	2.444362	26	0	19
47.0	2.444362	27	0	33
48.0	2.444362	23	0	25
49.0	2.444362	32	0	21
50.0	2.444362	19	0	17
51.0	2.444362	30	0	25
52.0	2.444362	14	0	17
53.0	2.444362	19	0	16
54.0	2.444362	14	0	14
55.0	2.444362	19	0	15
56.0	2.444362	15	0	15
57.0	2.444362	12	0	13
58.0	2.444362	11	0	16
59.0	2.444362	17	0	18
60.0	2.444362	9	0	15
61.0	2.444362	27	0	21
62.0	2.444362	10	0	6
63.0	2.444362	11	0	11
64.0	2.444362	13	0	13
65.0	2.444362	13	0	14
66.0	2.444362	10	0	12
67.0	2.444362	14	0	9
68.0	2.444362	6	0	6
69.0	2.444362	15	0	17
70.0	2.444362	11	0	10
71.0	2.444362	8	0	7
72.0	2.444362	6	0	5
73.0	2.444362	9	0	11
74.0	2.444362	10	0	5
75.0	2.444362	7	0	7
76.0	2.444362	3	0	5
77.0	2.444362	12	0	12
78.0	2.444362	9	0	10
79.0	2.444362	3	0	6
80.0	2.444362	12	0	13
81.0	2.444362	12	0	12
82.0	2.444362	10	0	6
83.0	2.444362	10	0	9
84.0	2.444362	6	0	7
85.0	2.444362	9	0	5
86.0	2.444362	5	0	5
87.0	2.444362	7	0	10
88.0	2.444362	1	0	9
89.0	2.444362	4	0	7
90.0	2.444362	14	0	4
91.0	2.444362	9	0	5
92.0	2.444362	5	0	3
93.0	2.444362	4	0	4
94.0	2.444362	5	0	2
95.0	2.444362	4	0	4
96.0	2.444362	3	0	6
97.0	2.444362	3	0	3
98.0	2.444362	4	0	8
99.0	2.444362	6	0	4
100.0	2.444362	2	0	4
101.0	0	5	0	3
102.0	0	3	0	1
103.0	0	4	0	4
104.0	0	3	0	5
105.0	0	5	0	2
106.0	0	2	0	5
107.0	0	2	0	2
108.0	0	4	0	5
109.0	0	5	0	0
110.0	0	2	0	2
111.0	0	1	0	1
112.0	0	2	0	3
113.0	0	1	0	1
114.0	0	4	0	8
115.0	0	5	0	4
116.0	0	2	0	1
117.0	0	4	0	2
118.0	0	3	0	5
119.0	0	2	0	3
120.0	0	4	0	2
121.0	0	5	0	2
122.0	0	2	0	3
123.0	0	2	0	2
124.0	0	1	0	1
125.0	0	1	0	3
126.0	0	0	0	1
127.0	0	3	0	0
128.0	0	3	0	1
129.0	0	1	0	1
130.0	0	1	0	4
131.0	0	0	0	3
132.0	0	2	0	0
133.0	0	4	0	2
134.0	0	3	0	2
135.0	0	2	0	1
136.0	0	3	0	2
137.0	0	0	0	3
138.0	0	2	0	1
139.0	0	2	0	3
140.0	0	1	0	1
141.0	0	2	0	1
142.0	0	1	0	3
143.0	0	3	0	0
144.0	0	2	0	2
145.0	0	2	0	0
146.0	0	0	0	1
147.0	0	3	0	1
