## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SLX-18684.D701rna_D501rna.HKMGVDRXX.s_2.Star_Aligned.sortedByCoord.out.bam] OUTPUT=SLX-18684.D701rna_D501rna.HKMGVDRXX.s_2.marked_duplicates.bam METRICS_FILE=SLX-18684.D701rna_D501rna.HKMGVDRXX.s_2.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 08 12:38:14 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1690	3488797	1100030	0	599	922920	75613	0.26456	5682319

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.016055	2099273	0	2137901
2.0	1.56594	342508	62708	322378
3.0	1.863535	77203	4541	65885
4.0	2.024592	21682	637	17201
5.0	2.111756	7836	158	6270
6.0	2.158928	3804	65	3225
7.0	2.184458	2153	31	1950
8.0	2.198274	1519	20	1427
9.0	2.205752	1169	12	1128
10.0	2.209798	896	10	864
11.0	2.211988	742	9	716
12.0	2.213174	613	3	614
13.0	2.213815	526	3	499
14.0	2.214162	426	3	465
15.0	2.21435	416	3	357
16.0	2.214452	327	2	326
17.0	2.214507	296	1	305
18.0	2.214537	281	0	275
19.0	2.214553	258	1	245
20.0	2.214562	227	1	218
21.0	2.214566	212	1	208
22.0	2.214569	173	0	166
23.0	2.21457	168	1	152
24.0	2.214571	137	1	159
25.0	2.214571	144	0	125
26.0	2.214572	120	0	111
27.0	2.214572	129	1	130
28.0	2.214572	111	0	95
29.0	2.214572	71	0	92
30.0	2.214572	98	1	88
31.0	2.214572	91	0	61
32.0	2.214572	62	0	87
33.0	2.214572	61	0	59
34.0	2.214572	77	0	78
35.0	2.214572	70	0	74
36.0	2.214572	69	0	71
37.0	2.214572	64	0	63
38.0	2.214572	67	0	63
39.0	2.214572	63	0	56
40.0	2.214572	55	0	57
41.0	2.214572	45	0	46
42.0	2.214572	51	0	51
43.0	2.214572	52	0	53
44.0	2.214572	50	0	54
45.0	2.214572	43	0	43
46.0	2.214572	43	0	37
47.0	2.214572	45	0	40
48.0	2.214572	47	0	41
49.0	2.214572	32	0	33
50.0	2.214572	42	0	41
51.0	2.214572	30	0	29
52.0	2.214572	36	0	38
53.0	2.214572	31	0	23
54.0	2.214572	23	0	25
55.0	2.214572	23	0	22
56.0	2.214572	29	0	31
57.0	2.214572	26	0	27
58.0	2.214572	28	0	25
59.0	2.214572	25	0	30
60.0	2.214572	23	0	22
61.0	2.214572	26	0	15
62.0	2.214572	17	0	24
63.0	2.214572	22	0	16
64.0	2.214572	15	0	18
65.0	2.214572	14	0	16
66.0	2.214572	18	0	19
67.0	2.214572	15	0	27
68.0	2.214572	24	0	17
69.0	2.214572	21	0	23
