## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SLX-18684.D702rna_D505rna.HKMGVDRXX.s_2.Star_Aligned.sortedByCoord.out.bam] OUTPUT=SLX-18684.D702rna_D505rna.HKMGVDRXX.s_2.marked_duplicates.bam METRICS_FILE=SLX-18684.D702rna_D505rna.HKMGVDRXX.s_2.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 08 12:40:08 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	604	2736351	899907	0	197	741408	64281	0.270954	4337792

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.017275	1609551	0	1641376
2.0	1.558625	281723	52794	265868
3.0	1.846708	65701	3978	56457
4.0	2.000014	18803	553	14590
5.0	2.081596	6457	142	4996
6.0	2.125011	2901	55	2370
7.0	2.148114	1657	33	1452
8.0	2.160409	1041	15	954
9.0	2.166952	839	14	783
10.0	2.170434	637	10	614
11.0	2.172286	503	4	502
12.0	2.173272	448	6	417
13.0	2.173797	346	4	348
14.0	2.174076	331	3	317
15.0	2.174225	295	3	273
16.0	2.174304	231	2	224
17.0	2.174346	217	0	207
18.0	2.174368	176	0	191
19.0	2.17438	181	1	181
20.0	2.174387	150	1	142
21.0	2.17439	137	0	129
22.0	2.174392	140	0	153
23.0	2.174393	140	0	115
24.0	2.174393	111	0	112
25.0	2.174394	98	0	103
26.0	2.174394	96	1	91
27.0	2.174394	90	0	80
28.0	2.174394	60	0	65
29.0	2.174394	71	0	82
30.0	2.174394	84	0	72
31.0	2.174394	67	1	54
32.0	2.174394	49	0	49
33.0	2.174394	47	0	53
34.0	2.174394	54	0	62
35.0	2.174394	57	1	57
36.0	2.174394	47	0	53
37.0	2.174394	56	0	47
38.0	2.174394	45	0	43
39.0	2.174394	51	0	39
40.0	2.174394	34	0	42
41.0	2.174394	41	0	33
42.0	2.174394	31	1	33
43.0	2.174394	32	0	33
44.0	2.174394	41	0	33
45.0	2.174394	27	0	39
46.0	2.174394	36	1	26
47.0	2.174394	32	0	23
48.0	2.174394	22	1	23
49.0	2.174394	20	0	27
50.0	2.174394	21	0	22
51.0	2.174394	28	0	26
52.0	2.174394	21	0	17
53.0	2.174394	20	0	22
54.0	2.174394	22	0	19
55.0	2.174394	19	0	20
56.0	2.174394	22	0	20
57.0	2.174394	12	0	19
58.0	2.174394	18	0	10
59.0	2.174394	18	0	16
60.0	2.174394	17	0	14
61.0	2.174394	16	0	16
62.0	2.174394	7	0	20
63.0	2.174394	19	0	12
64.0	2.174394	12	0	7
65.0	2.174394	15	0	15
66.0	2.174394	17	0	20
67.0	2.174394	10	0	7
68.0	2.174394	12	0	16
69.0	2.174394	16	0	14
70.0	2.174394	12	0	7
71.0	2.174394	9	0	14
72.0	2.174394	10	0	11
73.0	2.174394	14	0	6
74.0	2.174394	10	0	10
75.0	2.174394	5	0	9
76.0	2.174394	5	0	14
77.0	2.174394	16	0	7
78.0	2.174394	7	0	5
79.0	2.174394	9	0	12
80.0	2.174394	10	0	7
81.0	2.174394	7	0	10
82.0	2.174394	9	0	6
83.0	2.174394	7	0	9
84.0	2.174394	12	0	13
85.0	2.174394	8	0	9
86.0	2.174394	13	0	10
87.0	2.174394	10	0	6
88.0	2.174394	6	0	4
89.0	2.174394	4	0	5
90.0	2.174394	4	0	7
91.0	2.174394	5	0	6
92.0	2.174394	7	0	6
93.0	2.174394	5	0	11
94.0	2.174394	11	0	3
95.0	2.174394	9	0	9
96.0	2.174394	2	0	4
97.0	2.174394	5	0	7
98.0	2.174394	8	0	8
99.0	2.174394	8	0	6
100.0	2.174394	4	0	5
101.0	0	2	0	7
102.0	0	10	0	2
103.0	0	6	0	4
104.0	0	6	0	2
105.0	0	2	0	2
106.0	0	1	0	5
107.0	0	3	0	5
108.0	0	3	0	7
109.0	0	7	0	7
110.0	0	6	0	3
111.0	0	3	0	8
112.0	0	7	0	4
113.0	0	8	0	1
114.0	0	2	0	2
115.0	0	5	0	7
116.0	0	1	0	9
117.0	0	6	0	6
118.0	0	6	0	3
119.0	0	6	0	3
120.0	0	2	0	3
121.0	0	6	0	1
122.0	0	3	0	2
123.0	0	3	0	5
124.0	0	2	0	2
125.0	0	3	0	1
126.0	0	5	0	4
127.0	0	2	0	2
128.0	0	1	0	2
129.0	0	3	0	5
130.0	0	2	0	5
131.0	0	2	0	1
132.0	0	4	0	2
133.0	0	2	0	4
134.0	0	4	0	1
135.0	0	2	0	2
136.0	0	3	0	3
137.0	0	2	0	0
138.0	0	0	0	2
139.0	0	3	0	3
141.0	0	4	0	2
142.0	0	2	0	0
143.0	0	1	0	3
144.0	0	0	0	4
145.0	0	2	0	2
146.0	0	0	0	2
147.0	0	3	0	2
148.0	0	2	0	0
149.0	0	4	0	2
150.0	0	3	0	2
151.0	0	1	0	3
152.0	0	0	0	3
153.0	0	4	0	2
154.0	0	3	0	3
155.0	0	2	0	0
156.0	0	2	0	2
157.0	0	2	0	4
158.0	0	2	0	4
159.0	0	1	0	6
160.0	0	4	0	3
161.0	0	1	0	0
162.0	0	4	0	2
163.0	0	3	0	1
164.0	0	5	0	3
165.0	0	4	0	3
166.0	0	0	0	3
168.0	0	4	0	2
169.0	0	3	0	2
170.0	0	3	0	0
172.0	0	0	0	1
173.0	0	1	0	4
174.0	0	1	0	1
175.0	0	1	0	1
176.0	0	4	0	3
177.0	0	1	0	1
178.0	0	1	0	1
179.0	0	1	0	1
180.0	0	3	0	0
181.0	0	0	0	1
182.0	0	2	0	1
183.0	0	2	0	1
184.0	0	1	0	2
185.0	0	0	0	1
186.0	0	0	0	1
187.0	0	0	0	2
188.0	0	1	0	1
